TRF(bp),NRE80,Inf_NH4,Inf_NO2,Inf. pH,Eff. pH,Inf_Salinity,NLR,JET,BRO,KUE,label
Alu12 ,Y,111.96,117.9,7.614,7.72,0.57,0.23276962,6.113943352,5.886490725,2.62324929,1
Alu33 ,Y,178.25,169.66,7.885,7.715,0.65,0.325579747,5.63595658,6.134925173,1.262007736,1
Alu40 ,Y,178.25,169.66,7.89,7.755,0.65,0.336551391,6.73239376,6.322219295,2.342422681,1
Alu66 ,N,197.65,235.2,6.378,7.556,0.61,0.423822581,5.390702112,5.679455635,1.810729615,0
Alu89 ,N,184.85,226.38,7.959,7.875,1,0.400138419,5.322343633,5.966659285,1.187626683,0
Alu94 ,N,184.85,208.78,7.5,5.974,1.34,0.371495085,5.353539486,5.922736274,0.695881655,0
Alu98 ,N,183.3,208.78,7.5,6.418,1.34,0.353163364,4.661689897,6.031173398,0.440644728,0
Alu119 ,N,53.32,51.05,6.543,6.04,1,0.083496,5.531478917,5.230448921,1.09124643,0
Alu126 ,Y,25.61,27.6,7.568,8.01,0.96,0.049670945,4.512697209,4.856756862,4.616943458,1
Alu134 ,N,72.52,82.68,7.636,6.972,0.96,0.14487748,4.633378536,6.031173398,1.340796446,0
Alu140 ,N,103.8,103.36,7.51,6.34,1.04,0.193381564,3.561544977,4.077264547,0.610974129,0
Alu147 ,N,95.92,94.916,7.901,7.036,1,0.178141424,4.946368203,5.256264564,1.21895602,0
Alu155 ,N,73.61,71.823,7.547,6.833,1.06,0.145429,5.044750815,5.460978802,1.876775114,0
Alu161 ,N,99.02,107.147,7.49,6.91,1.08,0.2199136,6.230448921,6.079181246,2.73239376,0
Alu172 ,N,49.58,68.424,7.62,7.06,1.01,0.222994016,5.56659255,5.827625277,2.374164033,0
Alu175 ,N,49.58,68.424,7.62,7.53,1.01,0.222994016,4.778789348,6.031173398,2.786159623,0
Alu182 ,N,49.91,57.732,7.61,7.53,0.99,0.186664162,3.219419351,3.167893011,4.616943458,0
Alu189 ,N,49.91,56.36,7.58,7.182,0.99,0.200819528,6.531478917,6.041392685,2.662757832,0
Alu197 ,Y,68.3,84.402,7.77,7.76,1,0.152702,8.594818387,6.384024793,3.327577021,1
Alu203 ,N,100.51,104,7.54,6.69,0.93,0.190907818,8.098729025,5.995865885,2.706305519,0
Alu213,N,47.88,54.889,7.45,7.22,1.02,0.219234133,7.054192821,5.431783851,3.009822484,0
Alu217 ,Y,48.57,57.512,7.6,7.39,1.01,0.21217,7.556302501,6.176091259,4.146128036,1
Alu224,Y,48.57,57.512,7.45,7.55,1.02,0.254604,9.111237545,6.567667692,5.741848721,1
Alu231,N,45.51,54.172,7.62,7.19,0.99,0.252613305,8.146107275,6.296984593,5.319072055,0
Alu241,Y,46.98,56.85,7.43,7.18,1,0.290772462,8.153583269,6.765586997,5.307766289,1
