TRF(bp),NRE80,Inf_NH4,Inf_NO2,Inf. pH,Eff. pH,Inf_Salinity,NLR,Alu_F_68,Alu_F_116-121,Alu_F_235-240,Alu_F_397-402,label
Alu12 ,Y,111.96,117.9,7.614,7.72,0.57,0.23276962,0,0.078879512,0.024144398,0.823253633,1
Alu33 ,Y,178.25,169.66,7.885,7.715,0.65,0.325579747,0,0.074297766,0.027801745,0.861470616,1
Alu40 ,Y,178.25,169.66,7.89,7.755,0.65,0.336551391,0,0.031259348,0.016751421,0.873392163,1
Alu66 ,N,197.65,235.2,6.378,7.556,0.61,0.423822581,0,0.087728027,0.030845771,0.764013267,0
Alu89 ,N,184.85,226.38,7.959,7.875,1,0.400138419,0.011045393,0.04517922,0.036485427,0.798546284,0
Alu94 ,N,184.85,208.78,7.5,5.974,1.34,0.371495085,0,0.041398894,0.058885069,0.655208489,0
Alu98 ,N,183.3,208.78,7.5,6.418,1.34,0.353163364,0,0.054575524,0.22216097,0.449283352,0
Alu119 ,N,53.32,51.05,6.543,6.04,1,0.083496,0.15308863,0,0,0.204118174,0
Alu126 ,Y,25.61,27.6,7.568,8.01,0.96,0.049670945,0.124031008,0,0,0.049095607,1
Alu134 ,N,72.52,82.68,7.636,6.972,0.96,0.14487748,0.129173989,0,0.135325132,0.053602812,0
Alu140 ,N,103.8,103.36,7.51,6.34,1.04,0.193381564,0,0,0,0,0
Alu147 ,N,95.92,94.916,7.901,7.036,1,0.178141424,0,0,0,0,0
Alu155 ,N,73.61,71.823,7.547,6.833,1.06,0.145429,0,0,0,0.1890625,0
Alu161 ,N,99.02,107.147,7.49,6.91,1.08,0.2199136,0,0.057737814,0,0.647420729,0
Alu172 ,N,49.58,68.424,7.62,7.06,1.01,0.222994016,0,0,0,0.357988166,0
Alu175 ,N,49.58,68.424,7.62,7.53,1.01,0.222994016,0,0,0,0.268656716,0
Alu182 ,N,49.91,57.732,7.61,7.53,0.99,0.186664162,0,0,0,0,0
Alu189 ,N,49.91,56.36,7.58,7.182,0.99,0.200819528,0,0.072837633,0.02604957,0.725594335,0
Alu197 ,Y,68.3,84.402,7.77,7.76,1,0.152702,0.002151345,0.892842508,0.040363338,0.015093566,1
Alu203 ,N,100.51,104,7.54,6.69,0.93,0.190907818,0,0.863352188,0.047409943,0.030440607,0
Alu213,N,47.88,54.889,7.45,7.22,1.02,0.219234133,0,0.415313225,0.076566125,0.049303944,0
Alu217 ,Y,48.57,57.512,7.6,7.39,1.01,0.21217,0,0.771932017,0.07548113,0.07548113,1
Alu224,Y,48.57,57.512,7.45,7.55,1.02,0.254604,0.002488078,0.801409911,0.074725275,0.077047481,1
Alu231,N,45.51,54.172,7.62,7.19,0.99,0.252613305,0.002438085,0.807305702,0.075452329,0.065913854,0
Alu241,Y,46.98,56.85,7.43,7.18,1,0.290772462,0,0.806929721,0.081713781,0.075922654,1
